,Coefficients
func_dec: unmapped,0.39067066557817676
func_dec: ctlr,0.38895649948111755
func_dec: timespec64,0.38805762118347525
func_dec: vfta,0.3876965206897003
func_dec: pDM,0.3875468283394106
func_dec: capa,0.3873227689245502
func_dec: split,0.3869324641011767
func_dec: cper,0.3863555139871502
func_dec: 8,0.3854675847328052
func_dec: dstate,0.38456891126140275
func_dec: aware,0.38440804410207163
func_dec: ff,0.38430580611441206
func_dec: fdmi,0.3839479691590292
func_dec: hif,0.383816604373184
func_dec: BtInfoNotify,0.38311119648038733
func_dec: tmpBuf,0.38311119648038733
func_dec: pglist,0.3826423238888014
func_dec: agno,0.3826019286545645
func_dec: cp,0.38248992565404094
func_dec: space,0.3824163630299587
func_dec: cancelled,0.38238946602214646
func_dec: ieee802154,0.381095373420438
func_dec: xlog,0.38067021941788515
func_dec: nestattr,0.38058689219339753
func_dec: svga,0.3804511733933656
func_dec: fence,0.37930533707628117
func_dec: ready,0.37922643663909655
func_dec: msgdma,0.37873603519618554
func_dec: dmaqueue,0.3781177127793918
func_dec: pcmcia,0.3772598163907479
func_dec: ep,0.3767141198087948
func_dec: HTConstructInfoElement,0.3763831897537067
func_dec: posHTInfo,0.3763831897537067
func_dec: prod,0.3763291767845708
func_dec: icp,0.3753629951501968
func_dec: flush,0.37453784151563746
func_dec: bmi2,0.37436577693451845
func_dec: megasas,0.37390987298741235
func_dec: pwr,0.37362533403035575
func_dec: wm,0.3733599391552621
func_dec: hba,0.37333357631897895
func_dec: element,0.37314592834077565
func_dec: entry2,0.3730822909289292
func_dec: cpuid2,0.3730822909289292
func_dec: srcSize,0.37301571285686375
func_dec: multicast,0.3728098655708842
func_dec: delba,0.37263767103886564
func_dec: by,0.3726242064335209
func_dec: dw,0.37164445609247027
func_dec: load,0.37111076278099464
func_dec: taint,0.3710838452499055
func_dec: lockspace,0.3710809219916441
func_dec: cypress,0.37055762753358645
func_dec: long,0.3704795200800459
func_dec: irqchip,0.36991878197436256
func_dec: psp,0.3697725278701327
func_dec: ec,0.3693924358412365
func_dec: nsl,0.36938105638826096
func_dec: rateest,0.36895943168930634
func_dec: rinfo,0.3685087132397479
func_dec: radeonfb,0.3685087132397479
func_dec: bo,0.3679398198996376
func_dec: aac,0.3673351453529784
func_dec: dmaobj,0.36703173966518704
func_dec: pgmap,0.3660337224193654
func_dec: pagemap,0.3660337224193654
func_dec: kiocb,0.36596619472349834
func_dec: promisc,0.3657019460489752
func_dec: iwalk,0.36564579638955436
func_dec: affinity,0.3652934559926532
func_dec: udev,0.3650085452868986
func_dec: mclk,0.3641547445458735
func_dec: keyctl,0.3640240517310413
func_dec: hugetlb,0.3627745704292042
func_dec: caching,0.36243752993853856
func_dec: opl3,0.36194307590222174
func_dec: EXhalbtc8723b2ant,0.3619069515526073
func_dec: codec,0.36163847089441126
func_dec: nonblocking,0.3613735917973851
func_dec: 80211,0.36060188593387504
func_dec: pause,0.3602533843458572
func_dec: level,0.3599398969052321
func_dec: shader,0.3590934585787559
func_dec: iphy,0.3590129941504411
func_dec: mtrr,0.3586867729906503
func_dec: auto,0.3583941341246479
func_dec: disk,0.3576382063773451
func_dec: wb,0.3575538862178312
func_dec: blkcg,0.35672890924383766
func_dec: resume,0.3564452134522882
func_dec: constant,0.35547593889223095
func_dec: flic,0.3550819032376057
func_dec: classify,0.3550819032376057
func_dec: t,0.3547934467715065
func_dec: ua,0.3542476084946703
func_dec: thin,0.3538072024015363
func_dec: sli4,0.35359307584511
func_dec: rcode,0.3535530633305592
func_dec: bitmask,0.35322560445300716
func_dec: ov2640,0.3528469736951541
func_dec: oobbuf,0.3526661969042374
func_dec: API,0.3523231906083448
func_dec: upper,0.3518519736326339
func_dec: ringid,0.35157189879505935
func_dec: alarm,0.35153754072509696
func_dec: commonring,0.3515219752887382
func_dec: strncpy,0.3511843234071433
func_dec: SIZE,0.351165152957063
func_dec: inactive,0.3511019088475506
func_dec: MacAddr,0.35074656009310506
func_dec: psz,0.3501811030506503
func_dec: dbgfs,0.34994099822327396
func_dec: charlcd,0.34962767289761026
func_dec: hd44780,0.34962767289761026
func_dec: stack,0.34927004959009333
func_dec: mcp77,0.34834241690246015
func_dec: sl,0.34775306341330914
func_dec: pcon,0.34770316502958853
func_dec: retry,0.3476538711353813
func_dec: psta,0.3470203259025315
func_dec: uint8,0.34695539608885345
func_dec: h,0.34684116057919295
func_dec: numpages,0.346722603438563
func_dec: fbc,0.34654896940305074
func_dec: dca,0.3464025627680678
func_dec: deaf,0.3459819718626126
func_dec: pin,0.3458787015668854
func_dec: expansion,0.3456572805983425
func_dec: trbs,0.3456572805983425
func_dec: enable,0.34536908155675633
func_dec: c45,0.3446974242011891
func_dec: vnic,0.34451752126067275
func_dec: msec,0.34449870412050587
func_dec: system,0.34436083595971395
func_dec: edif,0.34419667870323645
